date,deposit_growth_rubles_mln,ofz_yield_upto_1_year,key_rate,deposit_rate_dollars_upto_1_year,deposit_rate_rubles_upto_1_year,urals_oil_usd_per_barrel,consumer_price_index,m0_bln_rubles,m2_bln_rubles,usd_to_rub_exchange_rate,average_nominal_salary_rubles,time_idx
2017-01-01,467294.18350303185,8.416190476190476,10.0,0.79,6.5,54.89,166.43472,7714.777071,38417.973904219994,59.96,34422,72
2017-02-01,693447.1228033305,8.830526315789472,10.0,0.77,6.3,55.49,166.80087,7543.682136,38016.82759726,58.39,35497,73
2017-03-01,427092.0946500004,8.987727272727271,9.75,0.8,5.91,51.97,167.01772,7587.379089,38462.29267413,58.1,37899,74
2017-04-01,1146755.1839461327,8.655263157894739,9.75,0.52,6.25,53.06,167.56887,7610.346801,38555.20367665,56.43,39225,75
2017-05-01,93836.39261505014,8.319500000000001,9.25,0.76,6.1,50.87,168.18888,7775.286453,38663.77453288,57.17,39679,76
2017-06-01,316993.4668833614,8.039047619047617,9.0,0.71,5.7,46.89,169.21483,7813.342742,39222.85387211,57.82,41454,77
2017-07-01,855022.8107779026,8.074285714285713,9.0,0.66,6.07,48.5,169.33328,7946.920837,39623.11135398,59.67,38073,78
2017-08-01,75177.3373290897,7.882173913043479,9.0,0.73,6.07,52.0,168.41888,8034.188296,39275.91102792,59.65,37099,79
2017-09-01,-1141799.9560058117,7.648095238095239,8.5,0.66,5.31,57.0,168.16625,8066.77211,39419.31422766,57.73,38047,80
2017-10-01,-78111.97538387771,7.503636363636363,8.25,0.61,5.67,57.5,168.50259,8089.527215,39570.98853517,57.71,38333,81
2017-11-01,-761998.3152503967,7.381428571428571,8.25,0.64,5.18,63.1,168.852459482,8071.528889,39667.45168953,58.92,38848,82
2017-12-01,-1299868.6496191027,6.9780952380952375,7.75,0.73,5.27,64.9,169.560950418,8073.942148,40114.408277790004,58.59,50500,83
